docId,filename,top topics, amount it appears, primary topics, primary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears, , , , , , , , , , , , , , , ,
77,null-source,4,0.274,7,0.106,1,0.106,3,0.088
78,null-source,10,0.184,14,0.158,4,0.132,1,0.132
79,null-source,11,0.460,10,0.078,12,0.071,14,0.061
80,null-source,14,0.258,9,0.182,10,0.091,7,0.091
81,null-source,14,0.300,11,0.125,4,0.117,13,0.058
82,null-source,3,0.477,15,0.114,14,0.091,11,0.091
83,null-source,3,0.542,15,0.104,14,0.063,11,0.063
84,null-source,1,0.182,3,0.169,10,0.098,8,0.092
85,null-source,12,0.150,10,0.150,1,0.150,11,0.100
86,null-source,5,0.571,12,0.186,1,0.090,,
87,null-source,12,0.188,3,0.159,4,0.145,1,0.116
88,null-source,6,0.265,4,0.122,13,0.112,8,0.112
89,null-source,6,0.194,4,0.194,14,0.167,3,0.111
90,null-source,14,0.326,4,0.254,6,0.109,12,0.087
91,null-source,2,0.250,1,0.250,4,0.167,15,0.083
92,null-source,4,0.316,7,0.193,1,0.088,15,0.070
93,null-source,6,0.185,10,0.111,3,0.111,2,0.111
94,null-source,14,0.205,7,0.174,9,0.159,4,0.129
95,null-source,4,0.162,3,0.154,6,0.140,2,0.125
96,null-source,14,0.217,9,0.176,6,0.154,8,0.081
97,null-source,14,0.337,4,0.115,10,0.072,5,0.070
98,null-source,15,0.109,13,0.109,14,0.094,11,0.094
99,null-source,13,0.183,1,0.110,12,0.098,3,0.098
100,null-source,2,0.148,6,0.130,7,0.111,3,0.111
101,null-source,6,0.197,3,0.121,14,0.106,15,0.061
102,null-source,6,0.211,2,0.211,12,0.100,15,0.089
103,null-source,14,0.522,4,0.099,12,0.088,9,0.065
104,null-source,14,0.133,6,0.133,4,0.117,2,0.100
105,null-source,9,0.207,4,0.150,7,0.138,15,0.107
106,null-source,5,0.245,12,0.218,1,0.137,6,0.093
107,null-source,14,0.492,2,0.085,9,0.068,6,0.068
108,null-source,9,0.164,7,0.145,14,0.091,13,0.091
109,null-source,9,0.125,8,0.112,6,0.110,13,0.100
110,null-source,13,0.172,6,0.172,4,0.172,12,0.138
111,null-source,10,0.129,6,0.129,2,0.129,15,0.097
112,null-source,14,0.211,12,0.132,7,0.105,5,0.105
113,null-source,7,0.227,13,0.109,5,0.095,14,0.090
114,null-source,13,0.169,14,0.155,6,0.099,4,0.092
115,null-source,14,0.280,5,0.160,2,0.120,12,0.080
116,null-source,14,0.406,7,0.094,6,0.094,4,0.094
117,null-source,1,0.449,13,0.103,2,0.103,5,0.090
118,null-source,14,0.348,13,0.130,12,0.087,6,0.087
119,null-source,14,0.238,2,0.127,4,0.111,9,0.079
120,null-source,4,0.214,7,0.133,6,0.133,12,0.092
121,null-source,13,0.303,9,0.154,6,0.101,12,0.087
122,null-source,14,0.354,11,0.138,2,0.092,9,0.077
123,null-source,6,0.247,2,0.148,11,0.136,1,0.074
124,null-source,4,0.265,8,0.103,15,0.097,6,0.081
125,null-source,6,0.302,15,0.076,12,0.076,8,0.073
126,null-source,13,0.365,11,0.118,3,0.082,10,0.071
127,null-source,14,0.486,9,0.158,4,0.085,,
128,null-source,6,0.182,8,0.121,7,0.106,4,0.106
129,null-source,4,0.207,9,0.151,8,0.117,14,0.087
130,null-source,7,0.146,6,0.146,4,0.146,10,0.112
131,null-source,14,0.176,4,0.147,8,0.103,7,0.103
132,null-source,14,0.260,6,0.180,4,0.180,7,0.080
133,null-source,14,0.321,4,0.170,9,0.132,7,0.121
134,null-source,2,0.696,5,0.078,12,0.070,,
135,null-source,2,0.698,5,0.069,,,,
136,null-source,14,0.361,11,0.250,15,0.056,13,0.056
137,null-source,13,0.506,9,0.130,4,0.075,12,0.063
138,null-source,5,0.701,12,0.135,1,0.066,,
